Orders export: 01/02/2019;;;;;
OrderID;ProductID;KlantID;OrderDatum;Prijs;Aantal
1121;2206;53;01/01/2018;41.90;1
1121;103181;53;01/01/2018;809.87;1
1122;3305;12;01/01/2018;21.90;3
1122;302182;12;01/01/2018;479.85;2
1123;102171;11;01/02/2018;1739.85;3
1124;3303;34;01/02/2018;19.90;3
1125;3305;36;01/02/2018;19.71;2
1125;7403;36;01/02/2018;36.00;1
1126;1108;65;01/02/2018;16.50;2
1126;102181;65;01/02/2018;1739.85;2
1126;303181;65;01/02/2018;329.85;1
1127;4103;71;01/02/2018;13.50;3
1127;302202;71;01/02/2018;479.85;1
1128;3304;55;01/02/2018;21.90;3
1129;5205;15;01/02/2018;33.90;1
1129;5404;15;01/02/2018;23.50;1
1129;101221;15;01/02/2018;2939.85;1
1130;7402;10;01/03/2018;23.50;1
1131;1101;68;01/03/2018;13.78;2
1131;303201;68;01/03/2018;329.85;1
1132;1105;33;01/04/2018;14.50;2
1132;5302;33;01/04/2018;9.98;1
1133;5402;30;01/04/2018;14.50;3
1134;3305;67;01/05/2018;21.90;2
1135;2212;26;01/05/2018;53.90;1
1135;5201;26;01/05/2018;33.90;1
1135;201161;26;01/05/2018;832.35;3
1136;2210;13;01/05/2018;53.90;2
1136;101221;13;01/05/2018;2645.87;1
1136;302161;13;01/05/2018;455.86;1
1137;2212;69;01/05/2018;53.90;3
1137;102181;69;01/05/2018;1739.85;3
1137;303202;69;01/05/2018;329.85;2
1138;2202;50;01/05/2018;39.81;2
1139;103151;71;01/05/2018;854.86;1
1139;103221;71;01/05/2018;899.85;2
1140;4101;52;01/06/2018;13.50;2
1141;6401;67;01/06/2018;10.80;2
1142;5208;45;01/06/2018;33.90;3
1142;202181;45;01/06/2018;512.86;2
1143;1107;1;01/06/2018;16.50;3
1143;4102;1;01/06/2018;12.83;1
1144;301151;52;01/06/2018;764.85;2
1145;4102;2;01/06/2018;13.50;2
1146;1103;50;01/06/2018;13.78;2
1146;2203;50;01/06/2018;41.90;2
1146;302162;50;01/06/2018;479.85;2
1147;1102;54;01/06/2018;14.50;3
1147;7401;54;01/06/2018;23.50;2
1147;102171;54;01/06/2018;1739.85;1
1148;1108;68;01/07/2018;16.50;3
1148;2203;68;01/07/2018;39.81;1
1148;5205;68;01/07/2018;33.90;2
1149;303161;48;01/07/2018;329.85;1
1150;2204;51;01/08/2018;41.90;2
1151;101201;14;01/08/2018;2939.85;2
1152;4103;43;01/09/2018;13.50;2
1153;7404;19;01/09/2018;36.00;2
1154;103221;26;01/09/2018;854.86;2
1155;102201;44;01/10/2018;1739.85;3
1156;101152;74;01/10/2018;2939.85;1
1156;303201;74;01/10/2018;329.85;1
1157;4104;17;01/10/2018;15.50;2
1158;3301;39;01/10/2018;4.50;2
1159;1106;43;01/10/2018;16.50;3
1159;2202;43;01/10/2018;41.90;1
